ORDER DATE,project_name,group name,gst name,gst no,Site_incharge,site_incharge_mobile,office_contact,email,logged_in_sales_representive,login_date&time,address,state,city,pincode,PRODUCT,SIZE,CAPCITY,QTY,specification ,unit_pricew,sub_total,gst,gst_amount,discount,grand_total
17-04-2026,ARCHIT CORPORATION,ARCHIT CORPORATION,ARCHIT CORPORATION,24ACIPS4047H1ZI,RS,9825137600 / 9998521843,9825137600 / 9998521843,info@thehimalaya.co.in,sales2,17-04-2026,"OFFICE NO.310, 4TH FLOOR, KHATODARA MAIN ROAD,CANAL POINT,SURAT,GUJARAT",,,395002,MHC,28X28,LD,25,GREY,1952.5,48812.5,18%,8786.25,0,57598.75
18-04-2026,ARCHIT CORPORATION,ARCHIT CORPORATION,ARCHIT CORPORATION,24ACIPS4047H1ZI,RS,9825137600 / 9998521843,9825137600 / 9998521843,info@thehimalaya.co.in,sales2,18-04-2026,"OFFICE NO.310, 4TH FLOOR, KHATODARA MAIN ROAD,CANAL POINT,SURAT,GUJARAT",,,395002,MHC,28X28,ELD,50,GREY,1592.25,79612.5,18%,14330.25,0,93942.75
19-04-2026,ARCHIT CORPORATION,ARCHIT CORPORATION,ARCHIT CORPORATION,24ACIPS4047H1ZI,RS,9825137600 / 9998521843,9825137600 / 9998521843,info@thehimalaya.co.in,sales2,19-04-2026,"OFFICE NO.310, 4TH FLOOR, KHATODARA MAIN ROAD,CANAL POINT,SURAT,GUJARAT",,,395002,MHC,450X450,LD,10,GREY,2200,22000,18%,3960,0,25960
20-04-2026,ARCHIT CORPORATION,ARCHIT CORPORATION,ARCHIT CORPORATION,24ACIPS4047H1ZI,RS,9825137600 / 9998521843,9825137600 / 9998521843,info@thehimalaya.co.in,sales2,20-04-2026,"OFFICE NO.310, 4TH FLOOR, KHATODARA MAIN ROAD,CANAL POINT,SURAT,GUJARAT",,,395002,RCS,600X600,B125,12,BLACK,6648,79776,18%,14359.68,0,94135.68
15-04-2026,ARCHIT CORPORATION,ARCHIT CORPORATION,ARCHIT CORPORATION,24ACIPS4047H1ZI,RS,9825137600 / 9998521843,9825137600 / 9998521843,info@thehimalaya.co.in,sales2,15-04-2026,"OFFICE NO.310, 4TH FLOOR, KHATODARA MAIN ROAD,CANAL POINT,SURAT,GUJARAT",,,395002,RCS,600X600,LD,10,BLACK,5016,50160,18%,9028.8,0,59188.8
15-04-2026,RAJHANS INFRACONE INDIA PVT LTD,RAJHANS INFRACONE INDIA PVT LTD,RAJHANS INFRACONE INDIA PVT LTD,24AAECR6784R1ZH,RS,990497776,990497776,info@thehimalaya.co.in,sales2,15-04-2026,"R.S.NO 83/5,6,7, FP-118 TP-7 VESU-MAGDALLA RAJHANS EMPIRE BESIDE LE MERIDIEN HOTEL,NEAR AIRPORT DUMAS ROAD SURAT",,,395007,MHC,450X600,LD,1,GREY,3600,3600,18%,648,0,4248
05-05-2026,RV BUILDCON,RV BUILDCON,RV BUILDCON,24AAXFR7947L1Z5,RS,6353178881,6353178881,info@thehimalaya.co.in,sales2,05-05-2026,"C1001 CHANDANBALA NR SUVIDHA SHOPING CENTER PALDI,AHMEDABAD",,,380007,WGC,300X300,B125,18,GREY,,0,18%,0,0,0
05-05-2026,RV BUILDCON,RV BUILDCON,RV BUILDCON,24AAXFR7947L1Z5,RS,6353178881,6353178881,info@thehimalaya.co.in,sales2,05-05-2026,"C1001 CHANDANBALA NR SUVIDHA SHOPING CENTER PALDI,AHMEDABAD",,,380007,MHC,750X750,B125,16,GREY,6800,108800,18%,19584,0,128384
05-05-2026,RV BUILDCON,RV BUILDCON,RV BUILDCON,24AAXFR7947L1Z5,RS,6353178881,6353178881,info@thehimalaya.co.in,sales2,05-05-2026,"C1001 CHANDANBALA NR SUVIDHA SHOPING CENTER PALDI,AHMEDABAD",,,380007,MHC,900X900,LD,4,GREY,12018,48072,18%,8652.96,0,56724.96
12-05-2026,ARCHIT CORPORATION,ARCHIT CORPORATION,ARCHIT CORPORATION,24ACIPS4047H1ZI,RS,9825137600 / 9998521843,9825137600 / 9998521843,info@thehimalaya.co.in,sales2,12-05-2026,"OFFICE NO.310, 4TH FLOOR, KHATODARA MAIN ROAD,CANAL POINT,SURAT,GUJARAT",,,395002,MHC,600X600,C250,13,GREY,6000,78000,18%,14040,0,92040
12-05-2026,ARCHIT CORPORATION,ARCHIT CORPORATION,ARCHIT CORPORATION,24ACIPS4047H1ZI,RS,9825137600 / 9998521843,9825137600 / 9998521843,info@thehimalaya.co.in,sales2,12-05-2026,"OFFICE NO.310, 4TH FLOOR, KHATODARA MAIN ROAD,CANAL POINT,SURAT,GUJARAT",,,395002,WGC,600X600,C250,5,GREY,8400,42000,18%,7560,0,49560
15-05-2026,RAJHANS INFRACONE INDIA PVT LTD,RAJHANS INFRACONE INDIA PVT LTD,RAJHANS INFRACONE INDIA PVT LTD,24AAECR6784R1ZH,RS,990497776,990497776,info@thehimalaya.co.in,sales2,15-05-2026,"R.S.NO 83/5,6,7, FP-118 TP-7 VESU-MAGDALLA RAJHANS EMPIRE BESIDE LE MERIDIEN HOTEL,NEAR AIRPORT DUMAS ROAD SURAT",,,395007,MHC,600X450,LD,5,TERACOTA,3600,18000,18%,3240,0,21240
18-05-2026,ARCHIT CORPORATION,ARCHIT CORPORATION,ARCHIT CORPORATION,24ACIPS4047H1ZI,RS,9825137600 / 9998521843,9825137600 / 9998521843,info@thehimalaya.co.in,sales2,18-05-2026,"OFFICE NO.310, 4TH FLOOR, KHATODARA MAIN ROAD,CANAL POINT,SURAT,GUJARAT",,,395002,WGC,450X450,C250,29,GREY,4464,129456,18%,23302.08,0,152758.08
23-05-2026,ARCHIT CORPORATION,ARCHIT CORPORATION,ARCHIT CORPORATION,24ACIPS4047H1ZI,RS,9825137600 / 9998521843,9825137600 / 9998521843,info@thehimalaya.co.in,sales2,23-05-2026,"OFFICE NO.310, 4TH FLOOR, KHATODARA MAIN ROAD,CANAL POINT,SURAT,GUJARAT",,,395002,WGC,600X900,ELD,4,GREY,,0,18%,0,0,0
30-05-2026,ARCHIT CORPORATION,ARCHIT CORPORATION,ARCHIT CORPORATION,24ACIPS4047H1ZI,RS,9825137600 / 9998521843,9825137600 / 9998521843,info@thehimalaya.co.in,sales2,30-05-2026,"OFFICE NO.310, 4TH FLOOR, KHATODARA MAIN ROAD,CANAL POINT,SURAT,GUJARAT",,,395002,MHC,600X600,C250,3,GREY,,0,18%,0,0,0
06-02-2026,ARCHIT CORPORATION,ARCHIT CORPORATION,ARCHIT CORPORATION,24ACIPS4047H1ZI,RS,9825137600 / 9998521843,9825137600 / 9998521843,info@thehimalaya.co.in,sales2,06-02-2026,"OFFICE NO.310, 4TH FLOOR, KHATODARA MAIN ROAD,CANAL POINT,SURAT,GUJARAT",,,395002,WGC,600X600,B125,5,GREY,5172,25860,18%,4654.8,0,30514.8
06-02-2026,ARCHIT CORPORATION,ARCHIT CORPORATION,ARCHIT CORPORATION,24ACIPS4047H1ZI,RS,9825137600 / 9998521843,9825137600 / 9998521843,info@thehimalaya.co.in,sales2,06-02-2026,"OFFICE NO.310, 4TH FLOOR, KHATODARA MAIN ROAD,CANAL POINT,SURAT,GUJARAT",,,395002,RCS,600X600,B125,3,BLACK,6648,19944,18%,3589.92,0,23533.92
06-02-2026,ARCHIT CORPORATION,ARCHIT CORPORATION,ARCHIT CORPORATION,24ACIPS4047H1ZI,RS,9825137600 / 9998521843,9825137600 / 9998521843,info@thehimalaya.co.in,sales2,06-02-2026,"OFFICE NO.310, 4TH FLOOR, KHATODARA MAIN ROAD,CANAL POINT,SURAT,GUJARAT",,,395002,MHC,600X600,B125,5,GREY,6432,32160,18%,5788.8,0,37948.8
06-02-2026,ARCHIT CORPORATION,ARCHIT CORPORATION,ARCHIT CORPORATION,24ACIPS4047H1ZI,RS,9825137600 / 9998521843,9825137600 / 9998521843,info@thehimalaya.co.in,sales2,06-02-2026,"OFFICE NO.310, 4TH FLOOR, KHATODARA MAIN ROAD,CANAL POINT,SURAT,GUJARAT",,,395002,WGC,600X600,D400,6,GREY,8400,50400,18%,9072,0,59472
06-02-2026,ARCHIT CORPORATION,ARCHIT CORPORATION,ARCHIT CORPORATION,24ACIPS4047H1ZI,RS,9825137600 / 9998521843,9825137600 / 9998521843,info@thehimalaya.co.in,sales2,06-02-2026,"OFFICE NO.310, 4TH FLOOR, KHATODARA MAIN ROAD,CANAL POINT,SURAT,GUJARAT",,,395002,RCS,600X600,D400,2,BLACK,10992,21984,18%,3957.12,0,25941.12
06-02-2026,ARCHIT CORPORATION,ARCHIT CORPORATION,ARCHIT CORPORATION,24ACIPS4047H1ZI,RS,9825137600 / 9998521843,9825137600 / 9998521843,info@thehimalaya.co.in,sales2,06-02-2026,"OFFICE NO.310, 4TH FLOOR, KHATODARA MAIN ROAD,CANAL POINT,SURAT,GUJARAT",,,395002,D MHC,600X600,D400,1,GREY,10176,10176,18%,1831.68,0,12007.68
06-02-2026,ARCHIT CORPORATION,ARCHIT CORPORATION,ARCHIT CORPORATION,24ACIPS4047H1ZI,RS,9825137600 / 9998521843,9825137600 / 9998521843,info@thehimalaya.co.in,sales2,06-02-2026,"OFFICE NO.310, 4TH FLOOR, KHATODARA MAIN ROAD,CANAL POINT,SURAT,GUJARAT",,,395002,MHC,300X300,B125,28,GREY,2088,58464,18%,10523.52,0,68987.52
06-02-2026,ARCHIT CORPORATION,ARCHIT CORPORATION,ARCHIT CORPORATION,24ACIPS4047H1ZI,RS,9825137600 / 9998521843,9825137600 / 9998521843,info@thehimalaya.co.in,sales2,06-02-2026,"OFFICE NO.310, 4TH FLOOR, KHATODARA MAIN ROAD,CANAL POINT,SURAT,GUJARAT",,,395002,MHC,300X300,ELD,7,GREY,960,6720,18%,1209.6,0,7929.6
06-02-2026,ARCHIT CORPORATION,ARCHIT CORPORATION,ARCHIT CORPORATION,24ACIPS4047H1ZI,RS,9825137600 / 9998521843,9825137600 / 9998521843,info@thehimalaya.co.in,sales2,06-02-2026,"OFFICE NO.310, 4TH FLOOR, KHATODARA MAIN ROAD,CANAL POINT,SURAT,GUJARAT",,,395002,MHC,300X300,D400,1,GREY,2928,2928,18%,527.04,0,3455.04
02-03-2026,RV BUILDCON,RV BUILDCON,RV BUILDCON,24AAXFR7947L1Z5,RS,6353178881,6353178881,info@thehimalaya.co.in,sales2,02-03-2026,"C1001 CHANDANBALA NR SUVIDHA SHOPING CENTER PALDI,AHMEDABAD",,,380007,MHC,10X10,LD,18,GREY,481,8658,18%,1558.44,0,10216.44
02-03-2026,RV BUILDCON,RV BUILDCON,RV BUILDCON,24AAXFR7947L1Z5,RS,6353178881,6353178881,info@thehimalaya.co.in,sales2,02-03-2026,"C1001 CHANDANBALA NR SUVIDHA SHOPING CENTER PALDI,AHMEDABAD",,,380007,MHC,36X36,LD,4,GREY,4602.5,18410,18%,3313.8,0,21723.8
04-06-2026,ARCHIT CORPORATION,ARCHIT CORPORATION,ARCHIT CORPORATION,24ACIPS4047H1ZI,RS,9825137600 / 9998521843,9825137600 / 9998521843,info@thehimalaya.co.in,sales2,04-06-2026,"OFFICE NO.310, 4TH FLOOR, KHATODARA MAIN ROAD,CANAL POINT,SURAT,GUJARAT",,,395002,WGC,450X450,C250,10,GREY,,0,18%,0,0,0
06-05-2026,ARCHIT CORPORATION,ARCHIT CORPORATION,ARCHIT CORPORATION,24ACIPS4047H1ZI,RS,9825137600 / 9998521843,9825137600 / 9998521843,info@thehimalaya.co.in,sales2,06-05-2026,"OFFICE NO.310, 4TH FLOOR, KHATODARA MAIN ROAD,CANAL POINT,SURAT,GUJARAT",,,395002,MHC,1000X1000,C250,5,GREY,19752,98760,18%,17776.8,0,116536.8
06-05-2026,ARCHIT CORPORATION,ARCHIT CORPORATION,ARCHIT CORPORATION,24ACIPS4047H1ZI,RS,9825137600 / 9998521843,9825137600 / 9998521843,info@thehimalaya.co.in,sales2,06-05-2026,"OFFICE NO.310, 4TH FLOOR, KHATODARA MAIN ROAD,CANAL POINT,SURAT,GUJARAT",,,395002,MHC,600X600,C250,3,GREY,6000,18000,18%,3240,0,21240
06-05-2026,ARCHIT CORPORATION,ARCHIT CORPORATION,ARCHIT CORPORATION,24ACIPS4047H1ZI,RS,9825137600 / 9998521843,9825137600 / 9998521843,info@thehimalaya.co.in,sales2,06-05-2026,"OFFICE NO.310, 4TH FLOOR, KHATODARA MAIN ROAD,CANAL POINT,SURAT,GUJARAT",,,395002,MHC,600X600,D400,1,GREY,7776,7776,18%,1399.68,0,9175.68
06-05-2026,ARCHIT CORPORATION,ARCHIT CORPORATION,ARCHIT CORPORATION,24ACIPS4047H1ZI,RS,9825137600 / 9998521843,9825137600 / 9998521843,info@thehimalaya.co.in,sales2,06-05-2026,"OFFICE NO.310, 4TH FLOOR, KHATODARA MAIN ROAD,CANAL POINT,SURAT,GUJARAT",,,395002,MHC,15X15,LD,2,GREY,407,814,18%,146.52,0,960.52
29-06-2026,ARCHIT CORPORATION,ARCHIT CORPORATION,ARCHIT CORPORATION,24ACIPS4047H1ZI,RS,9825137600 / 9998521843,9825137600 / 9998521843,info@thehimalaya.co.in,sales2,29-06-2026,"OFFICE NO.310, 4TH FLOOR, KHATODARA MAIN ROAD,CANAL POINT,SURAT,GUJARAT",,,395002,WGC,600X600,D400,1,GREY,8400,8400,18%,1512,0,9912
29-06-2026,ARCHIT CORPORATION,ARCHIT CORPORATION,ARCHIT CORPORATION,24ACIPS4047H1ZI,RS,9825137600 / 9998521843,9825137600 / 9998521843,info@thehimalaya.co.in,sales2,29-06-2026,"OFFICE NO.310, 4TH FLOOR, KHATODARA MAIN ROAD,CANAL POINT,SURAT,GUJARAT",,,395002,WGC,300X300,B125,7,GREY,2088,14616,18%,2630.88,0,17246.88
29-06-2026,ARCHIT CORPORATION,ARCHIT CORPORATION,ARCHIT CORPORATION,24ACIPS4047H1ZI,RS,9825137600 / 9998521843,9825137600 / 9998521843,info@thehimalaya.co.in,sales2,29-06-2026,"OFFICE NO.310, 4TH FLOOR, KHATODARA MAIN ROAD,CANAL POINT,SURAT,GUJARAT",,,395002,RCS,600X600,D400,3,BLACK,10176,30528,18%,5495.04,0,36023.04
29-06-2026,ARCHIT CORPORATION,ARCHIT CORPORATION,ARCHIT CORPORATION,24ACIPS4047H1ZI,RS,9825137600 / 9998521843,9825137600 / 9998521843,info@thehimalaya.co.in,sales2,29-06-2026,"OFFICE NO.310, 4TH FLOOR, KHATODARA MAIN ROAD,CANAL POINT,SURAT,GUJARAT",,,395002,MHC,300X300,LD,56,GREY,,0,18%,0,0,0
29-06-2026,ARCHIT CORPORATION,ARCHIT CORPORATION,ARCHIT CORPORATION,24ACIPS4047H1ZI,RS,9825137600 / 9998521843,9825137600 / 9998521843,info@thehimalaya.co.in,sales2,29-06-2026,"OFFICE NO.310, 4TH FLOOR, KHATODARA MAIN ROAD,CANAL POINT,SURAT,GUJARAT",,,395002,MHC,300X300,D400,1,GREY,,0,18%,0,0,0
29-06-2026,ARCHIT CORPORATION,ARCHIT CORPORATION,ARCHIT CORPORATION,24ACIPS4047H1ZI,RS,9825137600 / 9998521843,9825137600 / 9998521843,info@thehimalaya.co.in,sales2,29-06-2026,"OFFICE NO.310, 4TH FLOOR, KHATODARA MAIN ROAD,CANAL POINT,SURAT,GUJARAT",,,395002,MHC,18X18,LD,1,BLACK,,0,18%,0,0,0
29-06-2026,ARCHIT CORPORATION,ARCHIT CORPORATION,ARCHIT CORPORATION,24ACIPS4047H1ZI,RS,9825137600 / 9998521843,9825137600 / 9998521843,info@thehimalaya.co.in,sales2,29-06-2026,"OFFICE NO.310, 4TH FLOOR, KHATODARA MAIN ROAD,CANAL POINT,SURAT,GUJARAT",,,395002,MHC,12X12,LD,10,BLACK,,0,18%,0,0,0
29-06-2026,ARCHIT CORPORATION,ARCHIT CORPORATION,ARCHIT CORPORATION,24ACIPS4047H1ZI,RS,9825137600 / 9998521843,9825137600 / 9998521843,info@thehimalaya.co.in,sales2,29-06-2026,"OFFICE NO.310, 4TH FLOOR, KHATODARA MAIN ROAD,CANAL POINT,SURAT,GUJARAT",,,395002,MHC,24X24,LD,3,BLACK,,0,18%,0,0,0
29-06-2026,ARCHIT CORPORATION,ARCHIT CORPORATION,ARCHIT CORPORATION,24ACIPS4047H1ZI,RS,9825137600 / 9998521843,9825137600 / 9998521843,info@thehimalaya.co.in,sales2,29-06-2026,"OFFICE NO.310, 4TH FLOOR, KHATODARA MAIN ROAD,CANAL POINT,SURAT,GUJARAT",,,395002,MHC,600X600,D400,1,GREY,,0,18%,0,0,0
,BAPS SWAMINARAYAN SANSTHA,BAPS SWAMINARAYAN SANSTHA,BAPS SWAMINARAYAN SANSTHA,URD,RS,9998992175,9998992175,info@thehimalaya.co.in,sales2,,"BAPS Swaminarayan Akshardham,Akshardham Road,Kanad, Surat - 394520",,,394520,MHC,900x900,LD,11,GREY,12650,139150,18%,25047,0,164197
21-07-2026,BAPS SWAMINARAYAN SANSTHA,BAPS SWAMINARAYAN SANSTHA,BAPS SWAMINARAYAN SANSTHA,URD,RS,9998992175,9998992175,info@thehimalaya.co.in,sales2,21-07-2026,"BAPS Swaminarayan Akshardham,Akshardham Road,Kanad, Surat - 394520",,,394520,MHC,1200X1200,LD,2,GREY,21000,42000,18%,7560,0,49560
29-07-2026,ARCHIT CORPORATION,ARCHIT CORPORATION,ARCHIT CORPORATION,24ACIPS4047H1ZI,RS,9825137600 / 9998521843,9825137600 / 9998521843,info@thehimalaya.co.in,sales2,29-07-2026,"OFFICE NO.310, 4TH FLOOR, KHATODARA MAIN ROAD,CANAL POINT,SURAT,GUJARAT",,,395002,WGC,450X450,C250,10,GREY,,0,18%,0,0,0
29-07-2026,SHAH SALES CORPORATION,SHAH SALES CORPORATION,SHAH SALES CORPORATION,24BCHPS2061M1ZD,RS,9825199500,9825199500,info@thehimalaya.co.in,sales2,29-07-2026,"13/C,PLOT NO 125/A/5 RANGULWALA ESTATE OPP.K.N.PARK UDHANA MAGADALLA ROAD SURAT",,,395007,D MHC,600x600,C250,3,Grey,9010,27030,18%,4865.4,0,31895.4
